かな,英語,ローマ字
かぜ,wind,kaze
かせぐ,earn,kasegu
かぜぐすり,remedy for a cold,kazegusuri
かせっとてーぷ,cassette tape,kasettotēpu
かぞえる,count,kazoeru
かぞく,family,kazoku
がそりん,gasoline,gasorin
がそりんすたんど,gas station,gasorinsutando
かた,shoulder,kata
かた,person　（polite form),kata
かた,type,kata
かたい,stiff,katai
かだい,task,kadai
かたがた,people,katagata
がたがた,rattle,gatagata
かたかな,katakana,katakana
かたがわ,one side,katagawa
かたさ,hardness,katasa
かたち,shape,katachi
かたづく,be put in order,katazuku
かたづける,put in order,katazukeru
かたて,one hand,katate
かたな,sword,katana
かたほう,one side,katahō
かたまり,lump,katamari
かたまる,harden,katamaru
かたみち,one way,katamichi
かたむく,decline,katamuku
かたむける,lean,katamukeru
かためる,harden,katameru
かたよる,be one-sided,katayoru
かたる,tell,kataru
かたろぐ,catalogue,katarogu
かち,value,kachi
かち,win,kachi
かちかち,hard,kachikachi
かちょう,section chief,kachō
かつ,win,katsu
がっか,subject,gakka
がっかい,academic association,gakkai
がっかり,feel disappointed,gakkari
がっき,school term,gakki
がっき,musical instrument,gakki
かつぐ,shoulder,katsugu
かっこ,parentheses,kakko
かっこう,shape,kakkō
がっこう,school,gakkō
かっこく,every country,kakkoku
かつじ,printed type,katsuji
がっしょう,chorus,gasshō
かって,selfish,katte
かつて,once,katsute
かっと,cut,katto
かっと,lose one's temper,katto
かつどう,activity,katsudō
かっぱつ,lively,kappatsu
がっぴ,date,gappi
かっぷ,cup,kappu
かつやく,activity,katsuyaku
かつよう,utilization,katsuyō
かてい,home,katei
かてい,process,katei
かてい,course,katei
かてい,assumption,katei
かど,corner,kado
かな,kana,kana
かない,my wife,kanai
かなしい,sad,kanashii
かなしみ,grief,kanashimi
かなしむ,feel sad,kanashimu
かなづかい,kana orthography,kanazukai
かならず,without fail,kanarazu
かならずしも,not always,kanarazushimo
かなり,fairly,kanari
かね,money,kane
かね,bell,kane
かねもうけ,making money,kanemōke
かねもち,wealthy person,kanemochi
かねる,serve two functions,kaneru
かのう,possible,kanō
かのじょ,she,kanojo
かばー,cover,kabaa
かばん,bag,kaban
かびん,flower vase,kabin
かぶ,stocks,kabu
がぶがぶ,(the sound of) guzzling,gabugabu
かぶき,kabuki,kabuki
かぶしき,stock,kabushiki
かぶせる,cover,kabuseru
かぶとむし,rhinoceros beetle,kabutomushi
かぶる,wear,kaburu
かふん,pollen,kafun
かべ,wall,kabe
かへい,money,kahei
かぼちゃ,pumpkin,kabocha
かまう,mind,kamau
かまえる,set up (shop),kamaeru
かまきり,mantis,kamakiri
がまん,patience,gaman
かみ,god,kami
かみ,paper,kami
かみ,hair,kami
かみ,superiors,kami
かみくず,wastepaper,kamikuzu
かみさま,god,kamisama
かみそり,razor,kamisori
かみつく,bite at,kamitsuku
かみなり,thunder,kaminari
かみのけ,hair,kaminoke
かむ,bite,kamu
かめ,turtle,kame
かめら,camera,kamera
かめらまん,photographer,kameraman
がめん,screen,gamen
かも,wild duck,kamo
かもく,subject,kamoku
かもつ,freight,kamotsu
がやがや,chatter loudly,gayagaya
かゆい,itchy,kayui
かよう,go to and from,kayō
かようび,Tuesday,kayōbi
から,emptiness,kara
がら,pattern,gara
からー,color,karaa
からい,spicy,karai
からい,strict,karai
からおけ,karaoke,karaoke
からかう,make fun of,karakau
からから,thirsty,karakara
からから,roar,karakara
がらがら,empty,garagara
がらがら,gargle,garagara
からす,crow,karasu
がらす,glass,garasu
がらすど,glass door,garasudo
からだ,body,karada
からっぽ,empty,karappo
からて,karate,karate
かり,borrowing,kari
かり,provisional,kari
かりに,supposing that,karini
かりゅう,downstream,karyū
かりょく,heating power,karyoku
かりる,borrow,kariru
かるい,light,karui
かれ,he,kare
かれーらいす,curried rice,karēraisu
かれら,they,karera
かれる,wither,kareru
かれんだー,calendar,karendaa
かろう,overwork,karō
かわ,river,kawa
かわ,leather,kawa
かわ,peel,kawa
かわいい,cute,kawaii
かわいがる,love,kawaigaru
かわいそう,poor,kawaisō
かわいらしい,lovely,kawairashii
かわうそ,otter,kawauso
かわかす,dry,kawakasu
かわく,be thirsty,kawaku
かわく,dry,kawaku
かわす,exchange,kawasu
かわり,substitution,kawari
かわる,change,kawaru
かわる,substitute,kawaru
かわるがわる,by turns,kawarugawaru
かん,can,kan
かん,pipe,kan
かん,interval,kan
かん,sense,kan
がん,cancer,gan
がんか,ophthalmology,ganka
かんがえ,thought,kangae
かんがえる,think,kangaeru
かんかく,sense,kankaku
かんかく,interval,kankaku
かんかん,furious,kankan
かんきゃく,audience,kankyaku
かんきょう,environment,kankyō
かんけい,relation,kankei
かんげい,welcome,kangei
かんげき,deep emotion,kangeki
かんご,Chinese-character compounds,kango
かんご,nursing,kango
がんこ,stubborn,ganko
かんこう,sightseeing,kankō
かんごし,nurse,kangoshi
かんごふ,female nurse,kangofu
かんさつ,observation,kansatsu
かんじ,character,kanji
かんじ,feeling,kanji
がんじつ,New Year's Day,ganjitsu
かんしゃ,gratitude,kansha
かんじゃ,patient,kanja
かんしゅう,audience,kanshū
がんしょ,application form,gansho
かんしょう,viewing,kanshō
かんしょう,ornamental,kanshō
かんじょう,feeling,kanjō
かんじょう,check,kanjō
がんじょう,solid,ganjō
かんじる,feel,kanjiru
かんしん,concern,kanshin
かんしん,admiration,kanshin
かんじん,vital,kanjin
かんする,concern,kansuru
かんせい,completion,kansei
かんせつ,indirect,kansetsu
かんせつ,joint,kansetsu
かんぜん,perfect,kanzen
かんそう,thought,kansō
かんそう,drying up,kansō
かんそく,observation,kansoku
かんたん,simple,kantan
がんたん,New Year's Day,gantan
かんだんけい,thermometer,kandankei
かんちがい,misunderstanding,kanchigai
かんちょう,government office,kanchō
かんづめ,canned goods,kanzume
かんどう,emotion,kandō
かんとく,supervisor,kantoku
かんにんぐ,cheating,kanningu
かんぱい,a toast,kanpai
がんばる,persist,ganbaru
かんばん,signboard,kanban
かんびょう,nursing,kanbyō
かんぶ,executive,kanbu
かんようく,idiom,kanyōku
がんらい,originally,ganrai
かんり,management,kanri
かんりょう,completion,kanryō
かんれん,connection,kanren
かんわ,Chinese and Japanese,kanwa
き,spirit,ki
き,tree,ki
きあつ,atmospheric pressure,kiatsu
きいろ,yellow,kiiro
きいろい,yellow,kiiroi
ぎいん,legislator,giin
きえる,be extinguished,kieru
きおく,memory,kioku
きおすく,kiosk,kiosuku
きおん,temperature,kion
きかい,machine,kikai
きかい,opportunity,kikai
きかい,instrument,kikai
ぎかい,assembly,gikai
きがえ,change of clothes,kigae
きがえる,change clothes,kigaeru
きかく,plan,kikaku
きかす,tell,kikasu
きがる,lighthearted,kigaru
きかん,term,kikan
きかん,engine,kikan
きき,crisis,kiki
ききて,listener,kikite
ききとり,listening comprehension,kikitori
ききめ,effect,kikime
ききゅう,hot-air balloon,kikyū
きぎょう,corporation,kigyō
きく,hear,kiku
きく,work,kiku
きく,be effective,kiku
きく,chrysanthemum,kiku
きぐ,utensil,kigu
きげき,comedy,kigeki
きけん,danger,kiken
きけん,dropping out,kiken
きげん,time limit,kigen
きげん,origin,kigen
きげん,mood,kigen
きこう,climate,kikō
きごう,symbol,kigō
きこえる,hear,kikoeru
きこく,return to one's country,kikoku
きざむ,cut fine,kizamu
きし,shore,kishi
きじ,article,kiji
ぎし,engineer,gishi
ぎしき,ceremony,gishiki
きじつ,date,kijitsu
きしゃ,journalist,kisha
きしゃ,train,kisha
きじゅつ,description,kijutsu
ぎじゅつ,skill,gijutsu
きじゅん,standard,kijun
きじゅん,standard,kijun
きしょう,weather condition,kishō
きす,kiss,kisu
きず,wound,kizu
きすう,odd number,kisū
きずつく,get injured,kizutsuku
きずつける,wound,kizutsukeru
きせい,regulation,kisei
きせい,homecoming,kisei
きせい,ready-made,kisei
ぎせい,sacrifice,gisei
きせき,miracle,kiseki
きせつ,season,kisetsu
きぜつ,fainting,kizetsu
きせる,dress,kiseru
きそ,basis,kiso
きそく,rule,kisoku
きた,north,kita
ぎたー,guitar,gitaa
きたい,expectation,kitai
きたい,gas,kitai
ぎだい,topic for discussion,gidai
きたかぜ,north wind,kitakaze
きたく,return home,kitaku
きたない,dirty,kitanai
きち,base,kichi
きちょう,precious,kichō
きちょう,airplane captain,kichō
ぎちょう,chairman,gichō
きちょうひん,article of value,kichōhin
きちんと,properly,kichinto
きつい,tight,kitsui
きつい,severe,kitsui
きつえん,smoking,kitsuen
きっかけ,chance,kikkake
きづく,notice,kizuku
きっさてん,coffee shop,kissaten
ぎっしり,tightly,gisshiri
きっちり,exactly,kitchiri
きっちん,kitchen,kitchin
きって,postage stamp,kitte
きっと,surely,kitto
きつね,fox,kitsune
きつねいろ,golden brown,kitsuneiro
きっぷ,ticket,kippu
きてい,regulation,kitei
きにいる,like,kiniiru
きにゅう,entry,kinyū
きぬ,silk,kinu
きねん,commemoration,kinen
きねんび,memorial day,kinenbi
きのう,yesterday,kinō
きのう,function,kinō
きのどく,pitiable,kinodoku
きびしい,strict,kibishii
きぶん,feeling,kibun
きぼ,scale,kibo
きぼう,hope,kibō
きほん,basis,kihon
きまり,settlement,kimari
きまる,be decided,kimaru
きみ,you,kimi
ぎむ,duty,gimu
きめる,decide,kimeru
きもち,feeling,kimochi
きもの,clothes,kimono
ぎもん,question,gimon
きゃく,visitor,kyaku
ぎゃく,reverse,gyaku
きゃくせき,seat,kyakuseki
きゃくま,guest room,kyakuma
きゃっかんてき,objective,kyakkanteki
きゃっしゅかーど,cash card,kyasshukaado
きゃべつ,cabbage,kyabetsu
きゃんせる,cancellation,kyanseru
きゃんぷ,camping,kyanpu
きゅう,nine,kyū
きゅう,urgent,kyū
きゅう,globe,kyū
きゅう,grade,kyū
きゅう,old,kyū
きゅうか,holiday,kyūka
きゅうがく,leave of absence,kyūgaku
ぎゅうぎゅう,packed,gyūgyū
きゅうきゅうしゃ,ambulance,kyūkyūsha
きゅうぎょう,suspension of business,kyūgyō
きゅうくつ,tight,kyūkutsu
きゅうけい,rest,kyūkei
きゅうげき,sudden,kyūgeki
きゅうこう,temporary closure of school,kyūkō
きゅうこう,express train,kyūkō
きゅうこう,cancellation of lecture,kyūkō
きゅうじつ,holiday,kyūjitsu
きゅうしゅう,absorption,kyūshū
きゅうじょ,rescue,kyūjo
きゅうじん,recruiting,kyūjin
きゅうぞう,sudden increase,kyūzō
きゅうそく,rest,kyūsoku
きゅうそく,rapid,kyūsoku
ぎゅうどん,beef bowl,gyūdon
きゅうに,suddenly,kyūni
ぎゅうにく,beef,gyūniku
ぎゅうにゅう,milk,gyūnyū
きゅうびょう,sudden illness,kyūbyō
きゅうよう,urgent business,kyūyō
きゅうよう,rest,kyūyō
きゅうり,cucumber,kyūri
きゅうりょう,salary,kyūryō
きょう,today,kyō
きよう,skillful,kiyō
ぎょう,line,gyō
きょういく,education,kyōiku
きょういん,teacher,kyōin
きょうか,strengthening,kyōka
きょうかい,church,kyōkai
きょうかい,boundary,kyōkai
ぎょうかい,industry,gyōkai
きょうかしょ,textbook,kyōkasho
きょうぎ,conference,kyōgi
きょうぎ,match,kyōgi
ぎょうぎ,manners,gyōgi
きょうきゅう,supply,kyōkyū
ぎょうざ,Chinese dumpling,gyōza
きょうさんしゅぎ,Communism,kyōsanshugi
きょうし,teacher,kyōshi
ぎょうじ,event,gyōji
きょうしつ,classroom,kyōshitsu
ぎょうしゃ,businessman,gyōsha
きょうじゅ,professor,kyōju
きょうせい,compulsion,kyōsei
ぎょうせい,administration,gyōsei
ぎょうせき,achievement,gyōseki
きょうそう,competition,kyōsō
きょうだい,sibling,kyōdai
きょうちょう,emphasis,kyōchō
きょうつう,commonality,kyōtsū
きょうつうご,common language,kyōtsūgo
きょうどう,joint,kyōdō
きょうみ,interest,kyōmi
きょうよう,culture,kyōyō
きょうりょく,cooperation,kyōryoku
きょうりょく,powerful,kyōryoku
きょうれつ,intense,kyōretsu
ぎょうれつ,queue,gyōretsu
きょか,permission,kyoka
ぎょぎょう,fishing industry,gyogyō
きょく,song,kyoku
きょく,bureau,kyoku
きょくせん,curve,kyokusen
きょくたん,extreme,kyokutan
きょだい,huge,kyodai
きょねん,last year,kyonen
きょひ,denial,kyohi
きょり,distance,kyori
きょろきょろ,look around,kyorokyoro
きらい,dislike,kirai
きらう,dislike,kirau
きらきら,shining,kirakira
ぎらぎら,dazzling,giragira
きらく,easygoing,kiraku
きらりと,sparkle,kirarito
きり,fog,kiri
ぎり,sense of duty,giri
ぎりぎり,just in time,girigiri
きりぎりす,katydid,kirigirisu
きりすと,Christ,kirisuto
きりすときょう,Christianity,kirisutokyō
きりょく,energy,kiryoku
きる,wear,kiru
きる,cut,kiru
きれ,a cut of cloth,kire
きれ,sharpness,kire
きれい,beautiful,kirei
きれる,run out,kireru
きろく,record,kiroku
ぎろん,argument,giron
きわめて,extremely,kiwamete
きをつける,take care of,kiwotsukeru
きん,gold,kin
ぎん,silver,gin
きんいろ,golden color,kin'iro
ぎんいろ,silver,gin'iro
きんえん,no smoking,kin'en
きんがく,amount of money,kingaku
きんがん,nearsightedness,kingan
きんきゅう,emergency,kinkyū
きんきゅう,urgent,kinkyū
きんこ,strong box,kinko
きんこう,suburbs,kinkō
ぎんこう,bank,ginkō
きんし,nearsightedness,kinshi
きんし,prohibition,kinshi
きんしゅ,abstention from alcohol,kinshu
きんじょ,neighborhood,kinjo
きんじる,prohibit,kinjiru
きんせん,money,kinsen
きんぞく,metal,kinzoku
きんだい,modern times,kindai
きんちょう,tension,kinchō
きんにく,muscle,kinniku
きんべん,diligence,kinben
